epoch,loss_total,loss_style_swd,loss_content_ssm,learning_rate,epoch_time
1,13.147709,0.094491,0.164104,5.00e-04,0.00
2,10.062474,0.072448,0.157142,5.00e-04,0.00
3,10.473583,0.075390,0.155383,5.00e-04,0.00
4,9.445159,0.067518,0.155096,5.00e-04,0.00
5,8.879521,0.064115,0.155656,5.00e-04,0.00
6,9.132410,0.065710,0.153822,5.00e-04,0.00
7,8.874307,0.064007,0.153276,5.00e-04,0.00
8,9.072247,0.064989,0.154129,5.00e-04,0.00
9,8.667839,0.062253,0.153530,5.00e-04,0.00
10,8.826470,0.063728,0.153857,5.00e-04,0.00
11,9.028083,0.064902,0.154755,5.00e-04,0.00
12,7.820495,0.056159,0.151777,5.00e-04,0.00
13,9.063993,0.064648,0.152601,4.99e-04,0.00
14,9.282232,0.067304,0.156063,4.99e-04,0.00
15,8.226955,0.059155,0.151579,4.99e-04,0.00
16,8.346968,0.059678,0.156556,4.99e-04,0.00
17,9.267674,0.066671,0.154485,4.99e-04,0.00
18,7.580487,0.054431,0.154513,4.99e-04,0.00
19,8.483726,0.061493,0.153243,4.99e-04,0.00
20,7.648019,0.054743,0.154723,4.99e-04,0.00
21,7.754812,0.055294,0.153615,4.98e-04,0.00
22,7.877311,0.057035,0.150085,4.98e-04,0.00
23,7.662040,0.055115,0.150639,4.98e-04,0.00
24,7.768098,0.055648,0.153345,4.98e-04,0.00
25,7.864196,0.056612,0.152251,4.98e-04,0.00
26,6.994039,0.050346,0.152493,4.98e-04,0.00
27,7.089721,0.050543,0.150567,4.98e-04,0.00
28,6.878478,0.049359,0.147829,4.97e-04,0.00
29,7.615957,0.054323,0.150931,4.97e-04,0.00
30,7.206274,0.051859,0.149315,4.97e-04,0.00
31,7.017409,0.050333,0.148460,4.97e-04,0.00
32,7.298882,0.052240,0.146982,4.97e-04,0.00
33,6.785987,0.048592,0.152082,4.96e-04,0.00
34,7.434298,0.053120,0.148895,4.96e-04,0.00
35,7.014375,0.050338,0.148965,4.96e-04,0.00
36,7.403829,0.053286,0.147777,4.96e-04,0.00
37,6.542358,0.046985,0.148673,4.95e-04,0.00
38,7.329268,0.051487,0.147569,4.95e-04,0.00
39,6.679255,0.048041,0.147808,4.95e-04,0.00
40,6.362550,0.045489,0.146554,4.95e-04,0.00
41,6.716715,0.048205,0.144776,4.94e-04,0.00
42,6.765622,0.048611,0.146901,4.94e-04,0.00
43,6.895325,0.049756,0.143681,4.94e-04,0.00
44,5.956816,0.042481,0.142758,4.93e-04,0.00
45,6.351937,0.045606,0.146354,4.93e-04,0.00
46,6.047061,0.043630,0.145378,4.93e-04,0.00
47,6.095651,0.043249,0.144382,4.92e-04,0.00
48,6.812064,0.048725,0.141810,4.92e-04,0.00
49,6.128943,0.043976,0.144600,4.92e-04,0.00
50,5.469585,0.038825,0.143029,4.91e-04,0.00
51,5.183902,0.037009,0.139502,4.91e-04,0.00
52,5.847865,0.041457,0.143611,4.91e-04,0.00
53,6.144908,0.043765,0.142298,4.90e-04,0.00
54,5.257665,0.037519,0.140310,4.90e-04,0.00
55,5.235745,0.037494,0.141879,4.90e-04,0.00
56,5.306053,0.037870,0.139931,4.89e-04,0.00
57,5.566690,0.039720,0.140878,4.89e-04,0.00
58,5.925278,0.041983,0.138699,4.89e-04,0.00
59,6.483500,0.046258,0.136754,4.88e-04,0.00
60,5.282172,0.037736,0.139024,4.88e-04,0.00
61,5.457128,0.039189,0.136607,4.87e-04,0.00
62,4.809290,0.034318,0.139329,4.87e-04,0.00
63,5.033702,0.035992,0.139374,4.87e-04,0.00
64,5.440792,0.039131,0.136014,4.86e-04,0.00
65,4.950993,0.035286,0.136074,4.86e-04,0.00
66,5.156737,0.036878,0.138532,4.85e-04,0.00
67,5.142731,0.036392,0.137520,4.85e-04,0.00
68,5.502991,0.039494,0.137540,4.84e-04,0.00
69,4.678530,0.033349,0.138015,4.84e-04,0.00
70,5.203847,0.037136,0.137238,4.83e-04,0.00
71,5.724835,0.040519,0.135755,4.83e-04,0.00
72,4.714056,0.033744,0.136608,4.82e-04,0.00
73,4.811367,0.034142,0.135894,4.82e-04,0.00
74,4.686582,0.033680,0.135667,4.82e-04,0.00
75,4.719694,0.033605,0.136274,4.81e-04,0.00
76,4.285269,0.030516,0.135746,4.81e-04,0.00
77,4.812980,0.034737,0.135250,4.80e-04,0.00
78,4.299745,0.030951,0.136193,4.79e-04,0.00
79,4.015829,0.028606,0.135553,4.79e-04,0.00
80,4.754892,0.034517,0.134230,4.78e-04,0.00
81,4.654658,0.032983,0.134204,4.78e-04,0.00
82,4.530935,0.032151,0.136081,4.77e-04,0.00
83,4.700934,0.033856,0.134305,4.77e-04,0.00
84,3.830651,0.027313,0.135085,4.76e-04,0.00
85,4.355932,0.031152,0.134970,4.76e-04,0.00
86,4.352499,0.031032,0.135877,4.75e-04,0.00
87,4.061109,0.028562,0.133158,4.75e-04,0.00
88,3.867758,0.027552,0.134633,4.74e-04,0.00
89,4.328746,0.030619,0.135541,4.73e-04,0.00
90,4.211178,0.030099,0.135747,4.73e-04,0.00
91,4.358114,0.031172,0.131579,4.72e-04,0.00
92,3.861886,0.027684,0.131713,4.72e-04,0.00
93,4.033097,0.028629,0.132511,4.71e-04,0.00
94,3.788421,0.027142,0.132950,4.70e-04,0.00
95,4.064707,0.028800,0.134132,4.70e-04,0.00
96,4.401790,0.032139,0.132847,4.69e-04,0.00
97,3.765427,0.026846,0.134795,4.69e-04,0.00
98,4.377478,0.031148,0.131606,4.68e-04,0.00
99,4.192363,0.029965,0.132576,4.67e-04,0.00
100,4.005530,0.028691,0.133399,4.67e-04,0.00
101,3.854243,0.027230,0.132906,4.66e-04,0.00
102,3.265621,0.023155,0.130672,4.65e-04,0.00
103,3.652349,0.026020,0.131855,4.65e-04,0.00
104,3.558166,0.025177,0.132820,4.64e-04,0.00
105,4.176602,0.029666,0.133916,4.63e-04,0.00
106,4.051574,0.028865,0.135011,4.63e-04,0.00
107,4.354763,0.031017,0.132742,4.62e-04,0.00
108,4.041741,0.028836,0.133040,4.61e-04,0.00
109,3.319940,0.023498,0.131928,4.60e-04,0.00
110,3.719320,0.026487,0.131351,4.60e-04,0.00
111,3.713764,0.026483,0.134334,4.59e-04,0.00
112,3.935820,0.027999,0.132564,4.58e-04,0.00
113,3.595837,0.025434,0.130733,4.58e-04,0.00
