epoch,loss_total,loss_style_swd,loss_content_ssm,learning_rate,epoch_time
238,3.464368,0.024694,0.131728,3.30e-04,0.00
239,3.359577,0.023729,0.131604,3.29e-04,0.00
240,3.699786,0.025898,0.132040,3.28e-04,0.00
241,3.696927,0.026155,0.132473,3.26e-04,0.00
242,3.126720,0.022257,0.133261,3.25e-04,0.00
243,3.478424,0.024895,0.131950,3.24e-04,0.00
244,3.452764,0.024896,0.133406,3.23e-04,0.00
245,3.456212,0.024683,0.132052,3.21e-04,0.00
246,3.664876,0.026166,0.131887,3.20e-04,0.00
247,3.410817,0.024465,0.132693,3.19e-04,0.00
248,2.840608,0.020050,0.131243,3.18e-04,0.00
249,3.300092,0.023849,0.131460,3.16e-04,0.00
250,3.171760,0.022233,0.131163,3.15e-04,0.00
251,3.526947,0.024944,0.133023,3.14e-04,0.00
252,3.994378,0.028495,0.132835,3.13e-04,0.00
253,3.782510,0.026870,0.130001,3.11e-04,0.00
254,3.191525,0.022710,0.130495,3.10e-04,0.00
255,3.308886,0.022949,0.129704,3.09e-04,0.00
256,3.309510,0.023358,0.132934,3.07e-04,0.00
257,3.440002,0.024538,0.132484,3.06e-04,0.00
258,3.629591,0.025775,0.131179,3.05e-04,0.00
259,3.256950,0.023137,0.129835,3.04e-04,0.00
260,3.134797,0.022261,0.133102,3.02e-04,0.00
261,3.188861,0.022636,0.132130,3.01e-04,0.00
262,3.169545,0.022330,0.130080,3.00e-04,0.00
263,3.315333,0.023297,0.130117,2.99e-04,0.00
264,3.123239,0.022163,0.131481,2.97e-04,0.00
265,3.409698,0.024310,0.129501,2.96e-04,0.00
266,3.101680,0.022204,0.131211,2.95e-04,0.00
267,3.498123,0.024826,0.131492,2.93e-04,0.00
268,3.847274,0.027452,0.131021,2.92e-04,0.00
