epoch,loss_total,loss_style_swd,loss_style_swd_weighted,loss_mse,loss_mse_weighted,loss_layout,loss_mse_raw,learning_rate,epoch_time
111,3.825906,3.889479,2.244115,1.223784,1.223784,0.034933,0.525348,1.86e-04,0.00
112,3.698266,3.899925,1.536759,1.770298,1.770298,0.034616,0.498757,1.86e-04,0.00
113,3.776483,3.900344,1.522548,1.857664,1.857664,0.034529,0.492601,1.86e-04,0.00
114,3.796462,3.900815,1.537826,1.858690,1.858690,0.033828,0.481357,1.86e-04,0.00
115,3.827247,3.900300,1.555537,1.872461,1.872461,0.034031,0.485204,1.85e-04,0.00
116,3.833783,3.900900,1.573224,1.858450,1.858450,0.034435,0.478379,1.85e-04,0.00
117,3.853604,3.900738,1.590304,1.861281,1.861281,0.033577,0.476266,1.85e-04,0.00
118,3.868239,3.900244,1.610393,1.854738,1.854738,0.033310,0.471989,1.84e-04,0.00
119,3.889188,3.900838,1.626491,1.857693,1.857693,0.033772,0.469270,1.84e-04,0.00
120,3.906912,3.900792,1.646126,1.855299,1.855299,0.033727,0.467548,1.84e-04,0.00
121,3.920350,3.900183,1.664992,1.848462,1.848462,0.033511,0.463335,1.84e-04,0.00
122,3.940194,3.900613,1.682328,1.852075,1.852075,0.033246,0.465505,1.83e-04,0.00
123,3.956385,3.900088,1.702443,1.847112,1.847112,0.032993,0.461780,1.83e-04,0.00
124,3.971785,3.900316,1.720939,1.841823,1.841823,0.032607,0.454398,1.83e-04,0.00
125,3.993878,3.900230,1.739865,1.844843,1.844843,0.032586,0.453840,1.82e-04,0.00
126,4.008477,3.900335,1.758704,1.839992,1.839992,0.032990,0.453305,1.82e-04,0.00
127,4.028938,3.900096,1.779036,1.840950,1.840950,0.032248,0.453388,1.82e-04,0.00
