epoch,loss_total,loss_style_swd,loss_mse,learning_rate,epoch_time
41,19.280239,0.109331,0.155447,9.89e-05,0.00
42,16.528177,0.093726,0.154681,9.88e-05,0.00
43,13.370091,0.075257,0.162360,9.88e-05,0.00
44,13.891838,0.078142,0.164567,9.87e-05,0.00
45,14.088469,0.079183,0.172951,9.86e-05,0.00
46,13.504644,0.076245,0.185188,9.86e-05,0.00
47,12.699322,0.071179,0.179050,9.85e-05,0.00
48,13.909098,0.078512,0.177884,9.84e-05,0.00
49,13.174129,0.074498,0.179463,9.84e-05,0.00
50,13.096967,0.074252,0.187609,9.83e-05,0.00
