epoch,loss_total,loss_style_swd,loss_mse,learning_rate,epoch_time
1,22.081105,0.125513,0.148348,1.00e-04,0.00
2,16.463937,0.093307,0.164492,1.00e-04,0.00
3,15.399234,0.087225,0.175314,1.00e-04,0.00
4,13.603237,0.075864,0.175369,1.00e-04,0.00
5,14.590523,0.081905,0.189886,1.00e-04,0.00
6,15.456635,0.087187,0.192715,1.00e-04,0.00
7,14.469239,0.081413,0.201739,1.00e-04,0.00
8,14.825829,0.083235,0.201169,1.00e-04,0.00
9,14.215071,0.079709,0.191214,9.99e-05,0.00
10,13.136960,0.074286,0.205741,9.99e-05,0.00
11,14.159311,0.079195,0.204627,9.99e-05,0.00
12,14.223874,0.080313,0.206625,9.99e-05,0.00
13,14.433635,0.080885,0.206790,9.99e-05,0.00
14,14.085382,0.078946,0.196372,9.99e-05,0.00
15,14.818931,0.083630,0.206640,9.98e-05,0.00
16,14.638481,0.082136,0.211133,9.98e-05,0.00
17,12.742918,0.071710,0.216867,9.98e-05,0.00
18,15.054281,0.084672,0.212710,9.98e-05,0.00
19,12.662517,0.070656,0.201412,9.98e-05,0.00
20,14.352827,0.080700,0.196822,9.97e-05,0.00
21,13.770195,0.077028,0.202998,9.97e-05,0.00
22,14.430436,0.080395,0.201779,9.97e-05,0.00
23,13.360845,0.075153,0.212439,9.96e-05,0.00
24,14.952399,0.084469,0.207951,9.96e-05,0.00
25,14.530904,0.081999,0.202198,9.96e-05,0.00
26,13.377461,0.074759,0.212040,9.95e-05,0.00
27,13.684165,0.076280,0.192353,9.95e-05,0.00
28,14.827459,0.083333,0.202307,9.95e-05,0.00
29,14.757166,0.083264,0.207293,9.94e-05,0.00
30,13.749858,0.076981,0.207334,9.94e-05,0.00
31,13.105727,0.074083,0.202332,9.93e-05,0.00
32,13.995405,0.078890,0.209596,9.93e-05,0.00
33,14.630369,0.082843,0.203592,9.93e-05,0.00
34,13.606464,0.076309,0.200957,9.92e-05,0.00
35,12.579315,0.070613,0.198297,9.92e-05,0.00
36,13.195237,0.074048,0.213390,9.91e-05,0.00
37,13.460522,0.075785,0.203060,9.91e-05,0.00
38,13.079971,0.073930,0.199663,9.90e-05,0.00
39,13.536265,0.076286,0.195180,9.90e-05,0.00
40,13.618744,0.076853,0.183984,9.89e-05,0.00
41,13.508924,0.075824,0.196687,9.89e-05,0.00
42,13.095347,0.073308,0.198950,9.88e-05,0.00
43,12.043538,0.067107,0.185943,9.88e-05,0.00
44,12.556648,0.070049,0.191951,9.87e-05,0.00
