epoch,loss_total,loss_style_swd,loss_mse,learning_rate,epoch_time
1,13.628611,0.075526,0.363194,5.00e-04,0.00
2,12.530503,0.069270,0.384395,5.00e-04,0.00
3,12.727913,0.070338,0.381203,5.00e-04,0.00
4,12.544983,0.069300,0.393987,5.00e-04,0.00
5,12.280692,0.067895,0.382703,5.00e-04,0.00
6,12.064116,0.066493,0.405319,5.00e-04,0.00
7,11.958854,0.065874,0.396362,5.00e-04,0.00
8,11.594836,0.063712,0.399498,5.00e-04,0.00
9,11.980911,0.066145,0.383902,5.00e-04,0.00
10,11.137971,0.061205,0.393088,5.00e-04,0.00
