epoch,loss_total,loss_style_swd,loss_style_swd_weighted,loss_mse,loss_mse_weighted,learning_rate,epoch_time
1,20.244104,3.855393,19.261037,0.958604,0.958604,1.00e-04,0.00
2,20.170620,3.837323,19.174243,0.966276,0.966276,1.00e-04,0.00
3,20.090847,3.820175,19.084380,0.976199,0.976199,1.00e-04,0.00
4,20.039810,3.807202,19.021055,0.987310,0.987310,1.00e-04,0.00
5,19.993509,3.798648,18.978127,0.984139,0.984139,1.00e-04,0.00
6,19.961980,3.792103,18.945688,0.983439,0.983439,1.00e-04,0.00
7,19.910206,3.782594,18.896651,0.975752,0.975752,1.00e-04,0.00
8,19.868650,3.773694,18.851670,0.969384,0.969384,1.00e-04,0.00
9,19.835250,3.766436,18.816738,0.954212,0.954212,9.99e-05,0.00
10,19.793186,3.757579,18.769418,0.939834,0.939834,9.99e-05,0.00
11,19.799675,3.759045,18.777663,0.925053,0.925053,9.99e-05,0.00
12,19.754118,3.749293,18.730938,0.913860,0.913860,9.99e-05,0.00
13,19.730302,3.745601,18.714268,0.902133,0.902133,9.99e-05,0.00
14,19.713420,3.740781,18.686043,0.906589,0.906589,9.99e-05,0.00
15,19.704126,3.736779,18.668821,0.909932,0.909932,9.98e-05,0.00
16,19.647759,3.725047,18.608406,0.910476,0.910476,9.98e-05,0.00
17,19.639445,3.722856,18.596146,0.918357,0.918357,9.98e-05,0.00
18,19.630133,3.719804,18.582729,0.921471,0.921471,9.98e-05,0.00
19,19.615032,3.715152,18.559390,0.931202,0.931202,9.98e-05,0.00
20,19.594479,3.708070,18.526182,0.943134,0.943134,9.97e-05,0.00
21,19.565556,3.704867,18.507584,0.937913,0.937913,9.97e-05,0.00
22,19.572943,3.705095,18.512224,0.943593,0.943593,9.97e-05,0.00
23,19.596132,3.708875,18.531262,0.950287,0.950287,9.96e-05,0.00
24,19.576277,3.703552,18.502394,0.958097,0.958097,9.96e-05,0.00
25,19.546998,3.697028,18.467267,0.966058,0.966058,9.96e-05,0.00
26,19.550504,3.694448,18.457203,0.979056,0.979056,9.95e-05,0.00
27,19.558989,3.695539,18.467110,0.977163,0.977163,9.95e-05,0.00
28,19.575160,3.698120,18.474047,0.987485,0.987485,9.95e-05,0.00
29,19.581608,3.695956,18.466091,1.000319,1.000319,9.94e-05,0.00
30,19.544676,3.689291,18.432627,0.996944,0.996944,9.94e-05,0.00
31,19.568750,3.691237,18.442443,1.009904,1.009904,9.93e-05,0.00
32,19.570321,3.691587,18.443566,1.011430,1.011430,9.93e-05,0.00
33,19.583261,3.692297,18.445343,1.018741,1.018741,9.93e-05,0.00
34,19.609130,3.697195,18.472329,1.019414,1.019414,9.92e-05,0.00
35,19.607219,3.695678,18.463021,1.026612,1.026612,9.92e-05,0.00
36,19.575581,3.686909,18.418910,1.035886,1.035886,9.91e-05,0.00
37,19.610006,3.690853,18.440929,1.047457,1.047457,9.91e-05,0.00
38,19.599023,3.691098,18.435766,1.043321,1.043321,9.90e-05,0.00
39,19.591362,3.686135,18.416712,1.053860,1.053860,9.90e-05,0.00
40,19.589158,3.685655,18.412244,1.054846,1.054846,9.89e-05,0.00
41,19.607657,3.686232,18.416380,1.064959,1.064959,9.89e-05,0.00
42,19.609216,3.686959,18.419106,1.065655,1.065655,9.88e-05,0.00
43,19.633467,3.689397,18.431740,1.074534,1.074534,9.88e-05,0.00
44,19.653455,3.691959,18.446118,1.081245,1.081245,9.87e-05,0.00
45,19.654777,3.692325,18.445352,1.082352,1.082352,9.86e-05,0.00
46,19.709057,3.700126,18.487289,1.095044,1.095044,9.86e-05,0.00
47,19.678174,3.694380,18.455895,1.093539,1.093539,9.85e-05,0.00
48,19.691884,3.695981,18.463884,1.098205,1.098205,9.84e-05,0.00
49,19.659024,3.684603,18.409859,1.113732,1.113732,9.84e-05,0.00
50,19.650593,3.683786,18.405754,1.114198,1.114198,9.83e-05,0.00
