epoch,loss_total,loss_style_swd,loss_content_ssm,learning_rate,epoch_time
1,9.937314,0.070937,0.312435,5.00e-04,0.00
2,8.057243,0.056951,0.307631,5.00e-04,0.00
3,7.963534,0.056018,0.308882,5.00e-04,0.00
4,7.463964,0.052996,0.310662,5.00e-04,0.00
5,8.178965,0.057492,0.310586,5.00e-04,0.00
6,7.391089,0.052220,0.307340,5.00e-04,0.00
7,7.636232,0.053871,0.309313,4.99e-04,0.00
8,6.579829,0.046487,0.311971,4.99e-04,0.00
9,6.991436,0.048919,0.309197,4.99e-04,0.00
10,6.854651,0.048288,0.310182,4.99e-04,0.00
11,6.791865,0.048231,0.310235,4.98e-04,0.00
12,6.884750,0.048199,0.309768,4.98e-04,0.00
13,6.701295,0.047114,0.311943,4.98e-04,0.00
14,6.992167,0.049214,0.305435,4.97e-04,0.00
15,7.421308,0.052220,0.307454,4.97e-04,0.00
16,7.474110,0.052448,0.311832,4.97e-04,0.00
17,6.446638,0.045571,0.311803,4.96e-04,0.00
18,7.095109,0.050070,0.309350,4.96e-04,0.00
19,6.774713,0.047727,0.308874,4.95e-04,0.00
20,6.690617,0.047200,0.309824,4.95e-04,0.00
21,7.102020,0.050260,0.312182,4.94e-04,0.00
22,6.975153,0.049006,0.313190,4.93e-04,0.00
23,7.423760,0.052360,0.316010,4.93e-04,0.00
24,6.769814,0.047782,0.308241,4.92e-04,0.00
25,7.434198,0.052253,0.315105,4.91e-04,0.00
