epoch,loss_total,loss_style_swd,loss_style_swd_weighted,loss_mse,loss_mse_weighted,learning_rate,epoch_time
45,7.073876,3.792849,3.602676,3.123414,3.123414,1.97e-04,0.00
46,7.071144,3.788660,3.598732,3.122601,3.122601,1.97e-04,0.00
47,7.087061,3.785029,3.595292,3.140416,3.140416,1.97e-04,0.00
48,7.105476,3.785912,3.596152,3.158251,3.158251,1.97e-04,0.00
49,7.107191,3.789771,3.599676,3.153077,3.153077,1.97e-04,0.00
50,7.117089,3.775998,3.586798,3.174008,3.174008,1.97e-04,0.00
51,7.140355,3.775855,3.586514,3.198129,3.198129,1.96e-04,0.00
52,7.134173,3.771087,3.582031,3.194738,3.194738,1.96e-04,0.00
53,7.146602,3.769776,3.580755,3.207743,3.207743,1.96e-04,0.00
54,7.135138,3.765098,3.576349,3.198148,3.198148,1.96e-04,0.00
55,7.168170,3.770687,3.581534,3.226298,3.226298,1.96e-04,0.00
56,7.161163,3.768427,3.579526,3.218940,3.218940,1.96e-04,0.00
57,7.160192,3.765832,3.577093,3.218517,3.218517,1.96e-04,0.00
58,7.171342,3.768207,3.579338,3.227349,3.227349,1.95e-04,0.00
59,7.193312,3.765049,3.576287,3.251874,3.251874,1.95e-04,0.00
60,7.191231,3.757132,3.568818,3.254265,3.254265,1.95e-04,0.00
61,7.202365,3.759044,3.570507,3.263462,3.263462,1.95e-04,0.00
62,7.232929,3.755666,3.567218,3.296697,3.296697,1.95e-04,0.00
63,7.225238,3.757524,3.569155,3.285626,3.285626,1.95e-04,0.00
64,7.238734,3.756096,3.567793,3.301139,3.301139,1.94e-04,0.00
65,7.224225,3.754858,3.566491,3.284173,3.284173,1.94e-04,0.00
66,7.280049,3.756127,3.567831,3.339077,3.339077,1.94e-04,0.00
67,7.251647,3.754356,3.566203,3.310460,3.310460,1.94e-04,0.00
68,7.264745,3.751732,3.563654,3.324131,3.324131,1.94e-04,0.00
69,7.279242,3.757649,3.569233,3.334076,3.334076,1.94e-04,0.00
70,7.293854,3.754047,3.565775,3.351249,3.351249,1.93e-04,0.00
71,7.284321,3.749039,3.561117,3.345812,3.345812,1.93e-04,0.00
72,7.295400,3.751968,3.563913,3.351583,3.351583,1.93e-04,0.00
73,7.329902,3.748254,3.560353,3.388560,3.388560,1.93e-04,0.00
74,7.296678,3.746164,3.558252,3.357704,3.357704,1.93e-04,0.00
75,7.344876,3.745604,3.557857,3.406150,3.406150,1.92e-04,0.00
76,7.363438,3.746034,3.558290,3.422444,3.422444,1.92e-04,0.00
77,7.354998,3.745338,3.557505,3.415310,3.415310,1.92e-04,0.00
78,7.379587,3.747201,3.559330,3.437766,3.437766,1.92e-04,0.00
79,7.409705,3.750664,3.562624,3.464017,3.464017,1.92e-04,0.00
80,7.404183,3.749440,3.561348,3.459596,3.459596,1.91e-04,0.00
81,7.398489,3.745264,3.557617,3.453895,3.453895,1.91e-04,0.00
82,7.434831,3.746314,3.558415,3.491279,3.491279,1.91e-04,0.00
83,7.427720,3.743462,3.555798,3.485322,3.485322,1.91e-04,0.00
84,7.459630,3.741264,3.553692,3.516695,3.516695,1.91e-04,0.00
85,7.445854,3.747597,3.559689,3.497464,3.497464,1.90e-04,0.00
86,7.447980,3.745507,3.557787,3.500454,3.500454,1.90e-04,0.00
87,7.484222,3.743136,3.555468,3.539126,3.539126,1.90e-04,0.00
