epoch,loss_total,loss_style_swd,loss_style_swd_weighted,loss_mse,loss_mse_weighted,learning_rate,epoch_time
1,7.073026,3.890454,3.695464,3.240173,3.240173,2.00e-04,0.00
2,6.879589,3.901580,3.705995,2.957656,2.957656,2.00e-04,0.00
3,6.863680,3.902104,3.706440,2.930372,2.930372,2.00e-04,0.00
4,6.875154,3.902313,3.706604,2.937869,2.937869,2.00e-04,0.00
5,6.887333,3.902131,3.706561,2.948015,2.948015,2.00e-04,0.00
6,6.901392,3.902178,3.706594,2.960073,2.960073,2.00e-04,0.00
7,6.918237,3.902387,3.706710,2.974356,2.974356,2.00e-04,0.00
8,6.928737,3.901724,3.706089,2.983716,2.983716,2.00e-04,0.00
9,6.936930,3.901815,3.706168,2.988583,2.988583,2.00e-04,0.00
10,6.928565,3.901334,3.705737,2.972929,2.972929,2.00e-04,0.00
11,6.920024,3.901416,3.705799,2.958269,2.958269,2.00e-04,0.00
12,6.907191,3.900124,3.704622,2.938941,2.938941,2.00e-04,0.00
13,6.901052,3.897898,3.702466,2.930384,2.930384,2.00e-04,0.00
14,6.892123,3.899842,3.704333,2.913301,2.913301,2.00e-04,0.00
15,6.882715,3.895280,3.700013,2.902329,2.902329,2.00e-04,0.00
16,6.887344,3.894633,3.699482,2.904565,2.904565,2.00e-04,0.00
17,6.891541,3.894106,3.698879,2.906950,2.906950,2.00e-04,0.00
18,6.886575,3.890672,3.695533,2.899841,2.899841,2.00e-04,0.00
19,6.880504,3.889965,3.694858,2.889518,2.889518,2.00e-04,0.00
20,6.896349,3.880017,3.685491,2.913808,2.913808,1.99e-04,0.00
21,6.905291,3.879458,3.685002,2.920185,2.920185,1.99e-04,0.00
22,6.888286,3.874517,3.680245,2.902581,2.902581,1.99e-04,0.00
23,6.917654,3.869075,3.675101,2.937378,2.937378,1.99e-04,0.00
24,6.928213,3.865632,3.671822,2.948170,2.948170,1.99e-04,0.00
25,6.933125,3.863763,3.670042,2.952885,2.952885,1.99e-04,0.00
26,6.927698,3.860848,3.667385,2.946503,2.946503,1.99e-04,0.00
27,6.951376,3.853791,3.660484,2.975403,2.975403,1.99e-04,0.00
28,6.961664,3.852281,3.659192,2.984809,2.984809,1.99e-04,0.00
29,6.953459,3.848904,3.655934,2.977710,2.977710,1.99e-04,0.00
30,6.965651,3.850143,3.657101,2.987296,2.987296,1.99e-04,0.00
31,6.970169,3.845625,3.652799,2.992356,2.992356,1.99e-04,0.00
32,6.988015,3.843507,3.650807,3.011506,3.011506,1.99e-04,0.00
33,6.989713,3.842644,3.650018,3.010946,3.010946,1.99e-04,0.00
34,7.003216,3.835945,3.643599,3.030547,3.030547,1.98e-04,0.00
35,7.008778,3.835224,3.642903,3.035378,3.035378,1.98e-04,0.00
36,7.021502,3.829814,3.637860,3.051089,3.051089,1.98e-04,0.00
37,7.018496,3.826358,3.634486,3.048613,3.048613,1.98e-04,0.00
38,7.052749,3.818963,3.627464,3.089744,3.089744,1.98e-04,0.00
39,7.037108,3.814226,3.622941,3.075309,3.075309,1.98e-04,0.00
40,7.046246,3.808260,3.617360,3.088744,3.088744,1.98e-04,0.00
41,7.051295,3.803154,3.612438,3.096567,3.096567,1.98e-04,0.00
42,7.061512,3.800053,3.609619,3.108916,3.108916,1.98e-04,0.00
43,7.066781,3.795808,3.605562,3.116876,3.116876,1.97e-04,0.00
44,7.074593,3.796464,3.606148,3.122619,3.122619,1.97e-04,0.00
