epoch,loss_total,loss_style_swd,loss_style_swd_weighted,loss_mse,loss_mse_weighted,learning_rate,epoch_time
1,20.241129,3.854346,19.254997,0.969088,0.969088,1.00e-04,0.00
2,20.172506,3.836788,19.165452,0.983596,0.983596,1.00e-04,0.00
3,20.119639,3.822849,19.096947,0.995163,0.995163,1.00e-04,0.00
4,20.073396,3.810141,19.037437,1.006181,1.006181,1.00e-04,0.00
5,20.003445,3.796530,18.969377,1.005149,1.005149,1.00e-04,0.00
6,19.962802,3.788932,18.930814,1.004747,1.004747,1.00e-04,0.00
7,19.927659,3.781002,18.889160,1.011029,1.011029,1.00e-04,0.00
8,19.930590,3.781567,18.893593,1.009226,1.009226,1.00e-04,0.00
9,19.889341,3.771571,18.841473,1.019369,1.019369,9.99e-05,0.00
10,19.866953,3.765808,18.814307,1.022179,1.022179,9.99e-05,0.00
11,19.827709,3.759150,18.781641,1.010955,1.010955,9.99e-05,0.00
12,19.824385,3.757072,18.772717,1.005938,1.005938,9.99e-05,0.00
13,19.789319,3.749803,18.736647,0.997948,0.997948,9.99e-05,0.00
14,19.760961,3.744120,18.705233,0.986117,0.986117,9.99e-05,0.00
15,19.739960,3.738669,18.676983,0.973829,0.973829,9.98e-05,0.00
16,19.711755,3.733570,18.653692,0.958003,0.958003,9.98e-05,0.00
