epoch,loss_total,loss_style_swd,loss_style_swd_weighted,loss_mse,loss_mse_weighted,learning_rate,epoch_time
143,25.822541,0.069881,4.364214,21.422997,21.422997,8.68e-05,0.00
144,26.003513,0.072622,4.548640,21.417446,21.417446,8.66e-05,0.00
145,25.957672,0.070789,4.426170,21.495405,21.495405,8.64e-05,0.00
146,25.338024,0.062610,3.908538,21.395635,21.395635,8.62e-05,0.00
147,25.477178,0.065483,4.075150,21.364899,21.364899,8.60e-05,0.00
148,25.468210,0.064338,4.003876,21.428901,21.428901,8.59e-05,0.00
149,25.744642,0.070215,4.385183,21.325978,21.325978,8.57e-05,0.00
150,25.796444,0.069362,4.341351,21.416157,21.416157,8.55e-05,0.00
151,25.827428,0.069611,4.347805,21.440647,21.440647,8.53e-05,0.00
152,25.786742,0.069927,4.359846,21.385586,21.385586,8.51e-05,0.00
