epoch,loss_total,loss_style_swd,loss_style_swd_weighted,loss_mse,loss_mse_weighted,learning_rate,epoch_time
256,5.522574,0.041454,5.178311,0.229718,0.229718,6.18e-05,0.00
257,5.597130,0.042345,5.280612,0.228780,0.228780,6.16e-05,0.00
258,5.670804,0.042566,5.335923,0.228084,0.228084,6.13e-05,0.00
259,5.631122,0.042506,5.316995,0.228140,0.228140,6.10e-05,0.00
260,5.439620,0.041005,5.133256,0.227386,0.227386,6.08e-05,0.00
261,5.351939,0.040495,5.041280,0.227446,0.227446,6.05e-05,0.00
262,5.690202,0.043149,5.383518,0.227949,0.227949,6.03e-05,0.00
263,5.752599,0.043579,5.445858,0.227507,0.227507,6.00e-05,0.00
264,5.557689,0.042098,5.257798,0.227596,0.227596,5.98e-05,0.00
265,5.303245,0.040162,5.007720,0.226745,0.226745,5.95e-05,0.00
266,5.328151,0.040318,5.024333,0.227582,0.227582,5.93e-05,0.00
267,5.770541,0.043852,5.467138,0.226647,0.226647,5.90e-05,0.00
268,5.601142,0.042391,5.305394,0.226491,0.226491,5.88e-05,0.00
269,5.630677,0.042713,5.334979,0.226740,0.226740,5.85e-05,0.00
270,5.454929,0.041227,5.161958,0.227203,0.227203,5.82e-05,0.00
271,5.689094,0.043154,5.396953,0.226716,0.226716,5.80e-05,0.00
272,5.161962,0.039050,4.872055,0.226719,0.226719,5.77e-05,0.00
273,5.331873,0.040353,5.040205,0.227053,0.227053,5.75e-05,0.00
274,5.274438,0.039815,4.982524,0.227113,0.227113,5.72e-05,0.00
275,5.207940,0.039371,4.921711,0.226302,0.226302,5.70e-05,0.00
276,5.437621,0.041069,5.147889,0.226319,0.226319,5.67e-05,0.00
