epoch,loss_total,loss_style_swd,loss_style_swd_weighted,loss_mse,loss_mse_weighted,learning_rate,epoch_time
183,5.474764,0.041305,5.172651,0.235611,0.235611,7.90e-05,0.00
184,5.406424,0.040882,5.104544,0.234669,0.234669,7.88e-05,0.00
185,5.714309,0.043210,5.411999,0.235179,0.235179,7.85e-05,0.00
186,5.442732,0.041203,5.143632,0.233204,0.233204,7.83e-05,0.00
187,5.769435,0.043718,5.473274,0.232972,0.232972,7.81e-05,0.00
188,5.625155,0.042643,5.325468,0.234430,0.234430,7.79e-05,0.00
189,5.569458,0.042127,5.270500,0.234932,0.234932,7.77e-05,0.00
190,5.450779,0.041218,5.156863,0.231589,0.231589,7.75e-05,0.00
191,5.531035,0.041883,5.237835,0.232666,0.232666,7.72e-05,0.00
192,5.543951,0.041813,5.247631,0.232301,0.232301,7.70e-05,0.00
193,5.532038,0.041858,5.237226,0.233293,0.233293,7.68e-05,0.00
194,5.691211,0.043147,5.389645,0.233898,0.233898,7.66e-05,0.00
195,5.527699,0.041916,5.238089,0.232061,0.232061,7.64e-05,0.00
196,5.594329,0.042536,5.303819,0.231949,0.231949,7.61e-05,0.00
197,5.219389,0.039550,4.929617,0.232817,0.232817,7.59e-05,0.00
198,5.438746,0.041270,5.148652,0.232896,0.232896,7.57e-05,0.00
199,5.668729,0.042943,5.377765,0.233422,0.233422,7.55e-05,0.00
200,5.270216,0.039836,4.978826,0.234053,0.234053,7.53e-05,0.00
201,5.443931,0.041326,5.154656,0.233224,0.233224,7.50e-05,0.00
202,5.370409,0.040652,5.077373,0.233703,0.233703,7.48e-05,0.00
203,5.717933,0.043664,5.433911,0.231729,0.231729,7.46e-05,0.00
204,5.325186,0.040333,5.036501,0.234816,0.234816,7.43e-05,0.00
205,5.325145,0.040202,5.026322,0.234976,0.234976,7.41e-05,0.00
206,5.682766,0.043043,5.389392,0.234547,0.234547,7.39e-05,0.00
207,5.617255,0.042593,5.320599,0.235147,0.235147,7.37e-05,0.00
208,5.100793,0.038593,4.811249,0.234514,0.234514,7.34e-05,0.00
209,5.448298,0.041264,5.159050,0.234634,0.234634,7.32e-05,0.00
210,5.224646,0.039471,4.935886,0.234537,0.234537,7.30e-05,0.00
211,5.692492,0.043136,5.400985,0.235392,0.235392,7.27e-05,0.00
212,5.331182,0.040241,5.039567,0.234585,0.234585,7.25e-05,0.00
213,5.508305,0.041690,5.216593,0.235016,0.235016,7.23e-05,0.00
214,5.136314,0.038857,4.849857,0.233962,0.233962,7.20e-05,0.00
215,5.486289,0.041641,5.194747,0.233626,0.233626,7.18e-05,0.00
216,5.494536,0.041656,5.204530,0.233654,0.233654,7.16e-05,0.00
217,5.553843,0.042193,5.268132,0.233666,0.233666,7.13e-05,0.00
218,5.665287,0.043007,5.374423,0.233909,0.233909,7.11e-05,0.00
219,5.064015,0.038176,4.774740,0.233807,0.233807,7.09e-05,0.00
220,5.698503,0.043467,5.416135,0.232371,0.232371,7.06e-05,0.00
221,5.378309,0.040756,5.098894,0.232641,0.232641,7.04e-05,0.00
222,5.559258,0.042019,5.260815,0.236858,0.236858,7.02e-05,0.00
223,5.433623,0.041260,5.150268,0.234014,0.234014,6.99e-05,0.00
224,5.527900,0.041997,5.237621,0.235220,0.235220,6.97e-05,0.00
225,5.409424,0.040871,5.124008,0.233613,0.233613,6.94e-05,0.00
226,5.257679,0.039761,4.970855,0.233787,0.233787,6.92e-05,0.00
227,5.503827,0.041784,5.220316,0.234026,0.234026,6.90e-05,0.00
228,5.177999,0.039140,4.888335,0.234659,0.234659,6.87e-05,0.00
229,5.456620,0.041304,5.163836,0.236794,0.236794,6.85e-05,0.00
230,5.798729,0.044069,5.511450,0.233633,0.233633,6.82e-05,0.00
231,5.676763,0.043211,5.396174,0.233115,0.233115,6.80e-05,0.00
232,5.973018,0.045556,5.691278,0.233731,0.233731,6.78e-05,0.00
233,5.672678,0.043312,5.395999,0.232353,0.232353,6.75e-05,0.00
234,5.429211,0.041132,5.141790,0.234088,0.234088,6.73e-05,0.00
235,5.471562,0.041506,5.191147,0.232558,0.232558,6.70e-05,0.00
236,5.499654,0.041698,5.212483,0.234742,0.234742,6.68e-05,0.00
237,5.507581,0.041814,5.223663,0.233302,0.233302,6.65e-05,0.00
238,5.569787,0.042218,5.272201,0.237296,0.237296,6.63e-05,0.00
239,5.442534,0.041253,5.152723,0.234377,0.234377,6.60e-05,0.00
240,5.778068,0.044076,5.488119,0.235333,0.235333,6.58e-05,0.00
241,5.421123,0.040966,5.122566,0.237738,0.237738,6.55e-05,0.00
242,5.522161,0.041784,5.222996,0.237316,0.237316,6.53e-05,0.00
243,5.587280,0.042220,5.292722,0.236195,0.236195,6.51e-05,0.00
244,5.518846,0.042038,5.238954,0.233246,0.233246,6.48e-05,0.00
245,5.067789,0.038294,4.791796,0.233261,0.233261,6.46e-05,0.00
246,5.552840,0.042070,5.267161,0.234656,0.234656,6.43e-05,0.00
247,5.715953,0.043294,5.429490,0.234841,0.234841,6.41e-05,0.00
248,5.294368,0.040087,5.006434,0.234312,0.234312,6.38e-05,0.00
249,5.589062,0.042398,5.301989,0.235052,0.235052,6.36e-05,0.00
250,5.751173,0.043713,5.474077,0.232469,0.232469,6.33e-05,0.00
251,5.384460,0.040878,5.101603,0.234450,0.234450,6.31e-05,0.00
252,5.506869,0.041816,5.230577,0.232541,0.232541,6.28e-05,0.00
253,5.330256,0.040430,5.049255,0.233908,0.233908,6.26e-05,0.00
254,5.926341,0.045396,5.651184,0.232713,0.232713,6.23e-05,0.00
255,5.249077,0.039678,4.969304,0.234238,0.234238,6.21e-05,0.00
256,5.371562,0.040682,5.093135,0.232755,0.232755,6.18e-05,0.00
257,5.156900,0.039133,4.879029,0.233094,0.233094,6.16e-05,0.00
