epoch,loss_total,loss_style_swd,loss_style_swd_weighted,loss_mse,loss_mse_weighted,learning_rate,epoch_time
121,25.910950,0.069694,4.360196,21.519440,21.519440,9.04e-05,0.00
122,26.179372,0.073591,4.606634,21.543378,21.543378,9.02e-05,0.00
123,25.958072,0.070133,4.384702,21.541182,21.541182,9.01e-05,0.00
124,25.914098,0.069762,4.358181,21.522630,21.522630,8.99e-05,0.00
125,25.928583,0.069705,4.346590,21.548326,21.548326,8.98e-05,0.00
126,25.654308,0.063582,3.976083,21.647116,21.647116,8.96e-05,0.00
127,25.894395,0.068649,4.286385,21.576510,21.576510,8.95e-05,0.00
128,25.767924,0.066213,4.174003,21.559185,21.559185,8.93e-05,0.00
129,25.892763,0.067835,4.242392,21.617969,21.617969,8.91e-05,0.00
130,26.313570,0.075531,4.713089,21.568032,21.568032,8.90e-05,0.00
131,25.567634,0.063758,3.965742,21.569856,21.569856,8.88e-05,0.00
132,26.335187,0.075580,4.715211,21.585209,21.585209,8.86e-05,0.00
133,25.861153,0.069572,4.357660,21.469530,21.469530,8.85e-05,0.00
134,25.721386,0.067801,4.245790,21.441695,21.441695,8.83e-05,0.00
135,25.908586,0.068414,4.272874,21.600347,21.600347,8.81e-05,0.00
136,25.670701,0.066577,4.153239,21.481885,21.481885,8.80e-05,0.00
137,26.138999,0.074035,4.630168,21.473881,21.473881,8.78e-05,0.00
138,25.906007,0.070201,4.386853,21.483721,21.483721,8.76e-05,0.00
139,26.112489,0.073739,4.616716,21.462309,21.462309,8.75e-05,0.00
140,25.646982,0.066749,4.170483,21.440939,21.440939,8.73e-05,0.00
141,25.877297,0.067736,4.242779,21.597759,21.597759,8.71e-05,0.00
142,25.769160,0.066243,4.144615,21.589893,21.589893,8.69e-05,0.00
