epoch,loss_total,loss_style_swd,loss_mse,learning_rate,epoch_time
1,18.973246,0.088631,0.064063,1.00e-04,0.00
2,14.939469,0.070189,0.069852,1.00e-04,0.00
3,14.652373,0.068150,0.075055,1.00e-04,0.00
4,14.469002,0.067977,0.076655,1.00e-04,0.00
5,14.708156,0.068789,0.078788,1.00e-04,0.00
6,13.777135,0.064051,0.078245,1.00e-04,0.00
7,14.697004,0.068742,0.081091,1.00e-04,0.00
8,13.857958,0.064481,0.080143,1.00e-04,0.00
9,13.839150,0.064881,0.079942,9.99e-05,0.00
10,14.577235,0.067571,0.081550,9.99e-05,0.00
11,13.123801,0.061288,0.083542,9.99e-05,0.00
12,13.601969,0.063571,0.082706,9.99e-05,0.00
13,13.607472,0.064028,0.080420,9.99e-05,0.00
14,13.716777,0.064234,0.080657,9.99e-05,0.00
15,12.864257,0.060293,0.083671,9.98e-05,0.00
16,13.452702,0.062861,0.084019,9.98e-05,0.00
17,13.768947,0.064170,0.082860,9.98e-05,0.00
18,13.304470,0.061725,0.085606,9.98e-05,0.00
19,13.178328,0.060994,0.086051,9.98e-05,0.00
20,12.785063,0.059956,0.084747,9.97e-05,0.00
21,13.109003,0.060808,0.089507,9.97e-05,0.00
22,12.209670,0.056868,0.086834,9.97e-05,0.00
23,11.636309,0.053991,0.090305,9.96e-05,0.00
24,10.366945,0.048307,0.093332,9.96e-05,0.00
25,10.099446,0.047139,0.095463,9.96e-05,0.00
26,10.387802,0.048064,0.097571,9.95e-05,0.00
27,9.152321,0.042536,0.092973,9.95e-05,0.00
28,9.334925,0.043401,0.093816,9.95e-05,0.00
29,9.213127,0.042818,0.094611,9.94e-05,0.00
30,8.912522,0.041020,0.092054,9.94e-05,0.00
31,9.000989,0.041652,0.095114,9.93e-05,0.00
32,8.591139,0.039715,0.096243,9.93e-05,0.00
33,8.426614,0.039025,0.094258,9.93e-05,0.00
34,8.687211,0.040000,0.097135,9.92e-05,0.00
35,8.521942,0.039417,0.095695,9.92e-05,0.00
36,8.583627,0.039526,0.092133,9.91e-05,0.00
37,8.855098,0.040479,0.092739,9.91e-05,0.00
38,8.004218,0.036837,0.091663,9.90e-05,0.00
39,8.468398,0.039050,0.094403,9.90e-05,0.00
40,7.797317,0.035943,0.095244,9.89e-05,0.00
41,8.720760,0.040379,0.097897,9.89e-05,0.00
42,7.890239,0.036261,0.095272,9.88e-05,0.00
43,7.998449,0.036722,0.096895,9.88e-05,0.00
44,8.297600,0.038343,0.094869,9.87e-05,0.00
45,7.881980,0.036149,0.096526,9.86e-05,0.00
46,8.130155,0.037578,0.096965,9.86e-05,0.00
47,7.937507,0.036492,0.095625,9.85e-05,0.00
48,8.135871,0.036965,0.096681,9.84e-05,0.00
49,8.438911,0.038717,0.096404,9.84e-05,0.00
50,7.885115,0.036131,0.095920,9.83e-05,0.00
51,7.953459,0.036666,0.096470,9.82e-05,0.00
52,8.058532,0.036921,0.096820,9.82e-05,0.00
53,8.191180,0.037568,0.094415,9.81e-05,0.00
54,7.595855,0.034809,0.097072,9.80e-05,0.00
55,7.849997,0.035968,0.100311,9.80e-05,0.00
56,8.011077,0.036970,0.096123,9.79e-05,0.00
57,7.643856,0.034909,0.099747,9.78e-05,0.00
58,7.896605,0.036130,0.100908,9.77e-05,0.00
59,7.736994,0.035195,0.103422,9.77e-05,0.00
60,7.661559,0.035513,0.103002,9.76e-05,0.00
61,7.855061,0.035816,0.103724,9.75e-05,0.00
62,8.138596,0.037503,0.100425,9.74e-05,0.00
63,7.661388,0.035102,0.098614,9.73e-05,0.00
64,7.527946,0.034685,0.100455,9.72e-05,0.00
65,7.768117,0.035625,0.099136,9.72e-05,0.00
66,7.808628,0.035929,0.100105,9.71e-05,0.00
67,7.961348,0.036609,0.100852,9.70e-05,0.00
68,7.732264,0.035020,0.100064,9.69e-05,0.00
69,7.798555,0.035724,0.102025,9.68e-05,0.00
70,7.084591,0.032237,0.097789,9.67e-05,0.00
71,7.279399,0.033102,0.098715,9.66e-05,0.00
72,7.711482,0.035409,0.100440,9.65e-05,0.00
73,7.687412,0.035326,0.101199,9.64e-05,0.00
74,7.225948,0.033023,0.099948,9.63e-05,0.00
75,7.691535,0.035177,0.100284,9.62e-05,0.00
76,6.990377,0.032018,0.099909,9.61e-05,0.00
77,7.828311,0.035841,0.101077,9.60e-05,0.00
78,7.551911,0.034595,0.100258,9.59e-05,0.00
79,7.703969,0.035463,0.100602,9.58e-05,0.00
80,7.521020,0.034504,0.101271,9.57e-05,0.00
