epoch,loss_total,loss_style_swd,loss_mse,learning_rate,epoch_time
31,1.537474,0.038680,1.001346,4.97e-04,0.00
32,1.536272,0.038825,0.998797,4.97e-04,0.00
33,1.522177,0.038339,0.989556,4.96e-04,0.00
34,1.534244,0.038673,0.998120,4.96e-04,0.00
35,1.540304,0.039323,0.994470,4.96e-04,0.00
36,1.544532,0.040412,0.986079,4.96e-04,0.00
37,1.496764,0.036860,0.982096,4.95e-04,0.00
38,1.502125,0.038017,0.975826,4.95e-04,0.00
39,1.519708,0.038983,0.979341,4.95e-04,0.00
40,1.515287,0.039093,0.972161,4.95e-04,0.00
41,1.516951,0.038922,0.975319,4.94e-04,0.00
42,1.491816,0.037496,0.969761,4.94e-04,0.00
43,1.483262,0.036776,0.968577,4.94e-04,0.00
44,1.514504,0.039020,0.973008,4.93e-04,0.00
45,1.504834,0.038220,0.972144,4.93e-04,0.00
46,1.545876,0.040886,0.982871,4.93e-04,0.00
47,1.501813,0.038289,0.970165,4.92e-04,0.00
48,1.486556,0.037123,0.969211,4.92e-04,0.00
49,1.504255,0.038656,0.965796,4.92e-04,0.00
50,1.469475,0.036525,0.959462,4.91e-04,0.00
51,1.474949,0.036399,0.965229,4.91e-04,0.00
52,1.463123,0.036127,0.956564,4.91e-04,0.00
53,1.492411,0.038073,0.962528,4.90e-04,0.00
54,1.501393,0.039188,0.957764,4.90e-04,0.00
55,1.484834,0.037598,0.960455,4.90e-04,0.00
56,1.488742,0.038047,0.954899,4.89e-04,0.00
57,1.451751,0.035509,0.952984,4.89e-04,0.00
58,1.452440,0.035838,0.949601,4.89e-04,0.00
59,1.444129,0.035178,0.948286,4.88e-04,0.00
60,1.471480,0.037492,0.945932,4.88e-04,0.00
61,1.478192,0.037829,0.949013,4.87e-04,0.00
62,1.460003,0.036543,0.947053,4.87e-04,0.00
63,1.475686,0.037525,0.950311,4.87e-04,0.00
64,1.448750,0.035767,0.947026,4.86e-04,0.00
65,1.462273,0.036758,0.943823,4.86e-04,0.00
66,1.458981,0.036155,0.947657,4.85e-04,0.00
67,1.461559,0.036869,0.944676,4.85e-04,0.00
68,1.467510,0.037196,0.947024,4.84e-04,0.00
69,1.467831,0.037555,0.942262,4.84e-04,0.00
70,1.432439,0.035139,0.937466,4.83e-04,0.00
71,1.442305,0.035779,0.938194,4.83e-04,0.00
72,1.454367,0.036687,0.939051,4.82e-04,0.00
73,1.470379,0.037696,0.942221,4.82e-04,0.00
74,1.479346,0.038483,0.941325,4.82e-04,0.00
75,1.434583,0.035275,0.938929,4.81e-04,0.00
76,1.439050,0.035418,0.937910,4.81e-04,0.00
77,1.455351,0.036591,0.940166,4.80e-04,0.00
78,1.421005,0.034692,0.931107,4.79e-04,0.00
79,1.430262,0.035218,0.935469,4.79e-04,0.00
80,1.449009,0.037372,0.925047,4.78e-04,0.00
81,1.420414,0.034884,0.930535,4.78e-04,0.00
82,1.460828,0.037855,0.931304,4.77e-04,0.00
83,1.437673,0.036048,0.929699,4.77e-04,0.00
84,1.434586,0.035649,0.931733,4.76e-04,0.00
85,1.452155,0.037201,0.931333,4.76e-04,0.00
86,1.418884,0.034618,0.929594,4.75e-04,0.00
87,1.435758,0.036124,0.926522,4.75e-04,0.00
88,1.435620,0.036209,0.926669,4.74e-04,0.00
89,1.399911,0.033689,0.924307,4.73e-04,0.00
90,1.446819,0.037090,0.926609,4.73e-04,0.00
91,1.435906,0.036446,0.924295,4.72e-04,0.00
92,1.427074,0.035358,0.925971,4.72e-04,0.00
93,1.427662,0.035687,0.925359,4.71e-04,0.00
94,1.417501,0.034885,0.923829,4.70e-04,0.00
95,1.425765,0.035099,0.929368,4.70e-04,0.00
96,1.412676,0.034290,0.927025,4.69e-04,0.00
97,1.416196,0.034881,0.923470,4.69e-04,0.00
98,1.422202,0.035168,0.926473,4.68e-04,0.00
99,1.417822,0.034975,0.923960,4.67e-04,0.00
100,1.440458,0.036729,0.922907,4.67e-04,0.00
101,1.437506,0.036735,0.920691,4.66e-04,0.00
102,1.426589,0.035852,0.920484,4.65e-04,0.00
103,1.410926,0.034443,0.923322,4.65e-04,0.00
104,1.435253,0.036203,0.923778,4.64e-04,0.00
105,1.406526,0.034142,0.922758,4.63e-04,0.00
106,1.425432,0.035983,0.918097,4.63e-04,0.00
107,1.403110,0.034205,0.918297,4.62e-04,0.00
108,1.420282,0.035346,0.919883,4.61e-04,0.00
109,1.417972,0.035377,0.916099,4.60e-04,0.00
110,1.415300,0.034999,0.920160,4.60e-04,0.00
111,1.428753,0.036204,0.918658,4.59e-04,0.00
112,1.402149,0.033910,0.922458,4.58e-04,0.00
113,1.422638,0.035682,0.919345,4.58e-04,0.00
114,1.425964,0.035590,0.923205,4.57e-04,0.00
115,1.418141,0.035118,0.922509,4.56e-04,0.00
116,1.411877,0.034787,0.919735,4.55e-04,0.00
117,1.410409,0.034893,0.916000,4.55e-04,0.00
118,1.432791,0.036568,0.918160,4.54e-04,0.00
119,1.422977,0.035591,0.922691,4.53e-04,0.00
120,1.417662,0.035547,0.915252,4.52e-04,0.00
121,1.403024,0.034524,0.915046,4.52e-04,0.00
122,1.371182,0.032164,0.913178,4.51e-04,0.00
123,1.415189,0.035291,0.915838,4.50e-04,0.00
124,1.401950,0.034776,0.910751,4.49e-04,0.00
125,1.403348,0.034407,0.914145,4.48e-04,0.00
126,1.401977,0.034382,0.913186,4.48e-04,0.00
127,1.428554,0.036439,0.914956,4.47e-04,0.00
128,1.400529,0.034226,0.914974,4.46e-04,0.00
129,1.436160,0.036926,0.917767,4.45e-04,0.00
130,1.440484,0.037349,0.918123,4.44e-04,0.00
131,1.460817,0.038690,0.919665,4.44e-04,0.00
132,1.450385,0.038212,0.914856,4.43e-04,0.00
133,1.451435,0.037906,0.921120,4.42e-04,0.00
134,1.440442,0.037311,0.917742,4.41e-04,0.00
135,1.411179,0.035317,0.912638,4.40e-04,0.00
136,1.399234,0.034758,0.905453,4.39e-04,0.00
137,1.434936,0.036952,0.915531,4.39e-04,0.00
138,1.420528,0.036079,0.911699,4.38e-04,0.00
139,1.400415,0.033806,0.919595,4.37e-04,0.00
140,1.397485,0.034234,0.912305,4.36e-04,0.00
141,1.403007,0.034577,0.912637,4.35e-04,0.00
142,1.390878,0.033774,0.907912,4.34e-04,0.00
143,1.410782,0.034908,0.916349,4.33e-04,0.00
