epoch,loss_total,loss_style_swd,loss_mse,learning_rate,epoch_time
1,13.077643,0.113690,1.671100,5.00e-04,0.00
2,11.393989,0.096701,1.679332,5.00e-04,0.00
3,10.931252,0.091947,1.689420,5.00e-04,0.00
4,10.332031,0.085954,1.688323,5.00e-04,0.00
5,10.929743,0.092137,1.670144,5.00e-04,0.00
6,11.260218,0.095218,1.689607,5.00e-04,0.00
7,10.951612,0.092170,1.685525,5.00e-04,0.00
8,10.637704,0.088949,1.691326,5.00e-04,0.00
9,10.216633,0.084887,1.676920,5.00e-04,0.00
10,9.640784,0.078975,1.687240,5.00e-04,0.00
11,10.104216,0.083357,1.708964,5.00e-04,0.00
12,10.165138,0.084144,1.691292,5.00e-04,0.00
13,9.615478,0.078590,1.693280,4.99e-04,0.00
14,9.661875,0.079070,1.692296,4.99e-04,0.00
15,9.314560,0.075481,1.699820,4.99e-04,0.00
16,8.970458,0.072075,1.695885,4.99e-04,0.00
17,9.643866,0.078669,1.706228,4.99e-04,0.00
18,9.151981,0.073958,1.687286,4.99e-04,0.00
19,8.531274,0.067726,1.687227,4.99e-04,0.00
20,8.562448,0.067988,1.688729,4.99e-04,0.00
21,8.336649,0.065619,1.695814,4.98e-04,0.00
22,9.532366,0.077359,1.713582,4.98e-04,0.00
23,8.318223,0.065137,1.718137,4.98e-04,0.00
24,8.095306,0.063103,1.697685,4.98e-04,0.00
25,8.243628,0.064786,1.678982,4.98e-04,0.00
26,7.988036,0.062216,1.677702,4.98e-04,0.00
27,8.069093,0.063148,1.665182,4.98e-04,0.00
28,7.626310,0.058832,1.653333,4.97e-04,0.00
29,7.531774,0.057963,1.644684,4.97e-04,0.00
30,7.473278,0.057235,1.653917,4.97e-04,0.00
31,7.367451,0.056422,1.634113,4.97e-04,0.00
32,7.409004,0.056663,1.646330,4.97e-04,0.00
33,7.260608,0.055630,1.603765,4.96e-04,0.00
34,7.363145,0.056193,1.643980,4.96e-04,0.00
35,6.954334,0.052476,1.611221,4.96e-04,0.00
36,6.900270,0.051962,1.605955,4.96e-04,0.00
37,7.045631,0.053380,1.607448,4.95e-04,0.00
38,7.422738,0.057457,1.581668,4.95e-04,0.00
39,7.263231,0.055833,1.581430,4.95e-04,0.00
40,6.609561,0.049676,1.548012,4.95e-04,0.00
41,6.947822,0.052858,1.564850,4.94e-04,0.00
42,6.759067,0.050929,1.568972,4.94e-04,0.00
43,6.936083,0.052984,1.542453,4.94e-04,0.00
44,7.016655,0.054060,1.518705,4.93e-04,0.00
45,6.580229,0.049620,1.525973,4.93e-04,0.00
46,6.697227,0.050916,1.513002,4.93e-04,0.00
47,6.738604,0.051216,1.522030,4.92e-04,0.00
48,6.264437,0.046371,1.532274,4.92e-04,0.00
49,6.712217,0.050771,1.538457,4.92e-04,0.00
50,6.482976,0.048910,1.500633,4.91e-04,0.00
51,6.784887,0.051788,1.512889,4.91e-04,0.00
52,7.300624,0.057143,1.495271,4.91e-04,0.00
53,6.381950,0.047877,1.500921,4.90e-04,0.00
