epoch,loss_total,loss_style_swd,loss_mse,learning_rate,epoch_time
1,6.244236,0.103181,1.640727,5.00e-04,0.00
2,5.988138,0.097598,1.631942,5.00e-04,0.00
3,5.794871,0.092604,1.652082,5.00e-04,0.00
4,5.586633,0.089006,1.607512,5.00e-04,0.00
5,5.040355,0.077654,1.563263,5.00e-04,0.00
6,4.965902,0.075649,1.568440,5.00e-04,0.00
7,4.873675,0.073917,1.544486,5.00e-04,0.00
8,4.697297,0.070377,1.519201,5.00e-04,0.00
9,4.635957,0.069453,1.498350,5.00e-04,0.00
10,4.524295,0.067035,1.485239,5.00e-04,0.00
11,4.294119,0.062445,1.455531,5.00e-04,0.00
12,4.137379,0.058930,1.455368,5.00e-04,0.00
13,4.427103,0.065720,1.444025,4.99e-04,0.00
14,3.974235,0.056287,1.414361,4.99e-04,0.00
15,4.041160,0.058271,1.389197,4.99e-04,0.00
16,4.048124,0.058213,1.392898,4.99e-04,0.00
17,4.207580,0.061363,1.405906,4.99e-04,0.00
18,3.853391,0.054033,1.386723,4.99e-04,0.00
19,4.216042,0.062130,1.388925,4.99e-04,0.00
20,3.732610,0.051882,1.352785,4.99e-04,0.00
21,3.921902,0.056160,1.363745,4.98e-04,0.00
22,3.864161,0.054854,1.356125,4.98e-04,0.00
23,3.932554,0.056370,1.365031,4.98e-04,0.00
24,3.852794,0.054859,1.345658,4.98e-04,0.00
25,3.704952,0.051638,1.341923,4.98e-04,0.00
26,3.801164,0.053673,1.356464,4.98e-04,0.00
27,3.972283,0.057766,1.332856,4.98e-04,0.00
28,3.920656,0.056879,1.332261,4.97e-04,0.00
29,3.782250,0.053722,1.325571,4.97e-04,0.00
30,3.797232,0.053628,1.345840,4.97e-04,0.00
31,3.792583,0.054719,1.293671,4.97e-04,0.00
32,3.664615,0.051323,1.320862,4.97e-04,0.00
33,4.017926,0.059413,1.304378,4.96e-04,0.00
34,3.718205,0.052695,1.304100,4.96e-04,0.00
35,3.839990,0.055963,1.294640,4.96e-04,0.00
36,3.817426,0.055218,1.299398,4.96e-04,0.00
37,3.701879,0.052634,1.292000,4.95e-04,0.00
38,4.034482,0.059935,1.295489,4.95e-04,0.00
39,3.623933,0.051186,1.280884,4.95e-04,0.00
40,3.465569,0.047853,1.268223,4.95e-04,0.00
41,3.537808,0.049633,1.267761,4.94e-04,0.00
42,3.695851,0.053219,1.267171,4.94e-04,0.00
43,3.481841,0.048689,1.254003,4.94e-04,0.00
44,3.526297,0.049402,1.260307,4.93e-04,0.00
45,3.356708,0.046263,1.233341,4.93e-04,0.00
46,3.594017,0.051895,1.224258,4.93e-04,0.00
47,3.575568,0.050812,1.244173,4.92e-04,0.00
48,3.646881,0.051819,1.276453,4.92e-04,0.00
49,3.580825,0.051357,1.229873,4.92e-04,0.00
50,3.534798,0.050150,1.232873,4.91e-04,0.00
51,3.577497,0.051408,1.225308,4.91e-04,0.00
52,3.553790,0.050607,1.236166,4.91e-04,0.00
53,3.490818,0.049465,1.223723,4.90e-04,0.00
54,3.444041,0.048389,1.224721,4.90e-04,0.00
55,3.569675,0.051636,1.205972,4.90e-04,0.00
56,3.561630,0.051608,1.202781,4.89e-04,0.00
57,3.437888,0.049129,1.190071,4.89e-04,0.00
58,3.274816,0.045263,1.196098,4.89e-04,0.00
59,3.514508,0.050923,1.186374,4.88e-04,0.00
60,3.574945,0.052276,1.183926,4.88e-04,0.00
61,3.391872,0.047740,1.201069,4.87e-04,0.00
62,3.319789,0.046312,1.188210,4.87e-04,0.00
63,3.471106,0.050062,1.178845,4.87e-04,0.00
64,3.406389,0.048768,1.164987,4.86e-04,0.00
65,3.206731,0.044323,1.169911,4.86e-04,0.00
66,3.438274,0.049515,1.172357,4.85e-04,0.00
67,3.550838,0.052229,1.166179,4.85e-04,0.00
68,3.338158,0.047615,1.162114,4.84e-04,0.00
69,3.722769,0.056101,1.166146,4.84e-04,0.00
70,3.412008,0.049238,1.157750,4.83e-04,0.00
71,3.374742,0.048297,1.163534,4.83e-04,0.00
72,3.483308,0.051412,1.129098,4.82e-04,0.00
73,3.360197,0.048244,1.142144,4.82e-04,0.00
74,3.339914,0.048222,1.136382,4.82e-04,0.00
75,3.356597,0.048625,1.130392,4.81e-04,0.00
76,3.426815,0.049975,1.142127,4.81e-04,0.00
77,3.277336,0.046754,1.136601,4.80e-04,0.00
78,3.299815,0.047410,1.125801,4.79e-04,0.00
79,3.323232,0.048050,1.121909,4.79e-04,0.00
80,3.435316,0.050827,1.111026,4.78e-04,0.00
81,3.507320,0.052858,1.091639,4.78e-04,0.00
82,3.839722,0.059958,1.113228,4.77e-04,0.00
83,3.340039,0.048701,1.112757,4.77e-04,0.00
84,3.541698,0.053739,1.089514,4.76e-04,0.00
85,3.276996,0.047519,1.100657,4.76e-04,0.00
86,3.280562,0.048165,1.075571,4.75e-04,0.00
87,3.139031,0.044973,1.075790,4.75e-04,0.00
88,3.103344,0.044495,1.071055,4.74e-04,0.00
89,3.032532,0.042648,1.070338,4.73e-04,0.00
90,3.264558,0.048215,1.050228,4.73e-04,0.00
91,3.395543,0.051030,1.068298,4.72e-04,0.00
92,3.337972,0.049965,1.051756,4.72e-04,0.00
93,2.992504,0.042474,1.042147,4.71e-04,0.00
94,3.270147,0.049001,1.041526,4.70e-04,0.00
