epoch,loss_total,loss_style_swd,loss_content_ssm,learning_rate,epoch_time
26,9.000855,0.063656,0.313356,4.91e-04,0.00
27,9.203420,0.065302,0.311026,4.90e-04,0.00
28,9.040046,0.064358,0.313555,4.89e-04,0.00
29,8.604155,0.061034,0.314957,4.89e-04,0.00
30,10.073205,0.071955,0.309205,4.88e-04,0.00
31,9.148599,0.064610,0.315795,4.87e-04,0.00
32,9.898174,0.069903,0.306874,4.86e-04,0.00
33,8.902029,0.063398,0.311215,4.85e-04,0.00
