epoch,loss_total,loss_style_swd,loss_mse,learning_rate,epoch_time
1,37.339770,0.095324,17.209107,1.00e-04,0.00
2,32.343268,0.069504,17.621524,1.00e-04,0.00
3,31.382309,0.066386,17.274567,1.00e-04,0.00
4,31.522542,0.066287,17.380446,1.00e-04,0.00
5,30.461041,0.064272,16.841093,1.00e-04,0.00
6,28.009840,0.054349,16.319557,1.00e-04,0.00
7,26.206719,0.049111,15.714093,1.00e-04,0.00
8,25.531228,0.046466,15.614854,1.00e-04,0.00
9,24.926833,0.043793,15.415882,9.99e-05,0.00
10,24.139185,0.041818,15.164559,9.99e-05,0.00
11,23.669095,0.039693,15.034621,9.99e-05,0.00
12,23.805408,0.040742,14.987618,9.99e-05,0.00
13,24.040527,0.042611,14.848356,9.99e-05,0.00
14,24.148509,0.042303,14.951185,9.99e-05,0.00
15,23.613404,0.041909,14.582663,9.98e-05,0.00
16,23.398803,0.040315,14.631826,9.98e-05,0.00
17,22.708659,0.037989,14.437541,9.98e-05,0.00
18,22.762654,0.038181,14.398147,9.98e-05,0.00
19,22.318671,0.036523,14.388306,9.98e-05,0.00
20,23.222185,0.041098,14.295968,9.97e-05,0.00
21,22.976936,0.039870,14.276638,9.97e-05,0.00
22,22.807992,0.039713,14.166726,9.97e-05,0.00
23,22.303365,0.038586,13.926998,9.96e-05,0.00
24,22.163109,0.037533,13.969680,9.96e-05,0.00
25,22.047007,0.037814,13.810678,9.96e-05,0.00
26,21.913759,0.037938,13.676523,9.95e-05,0.00
27,22.428961,0.039383,13.806754,9.95e-05,0.00
28,21.586573,0.036665,13.572756,9.95e-05,0.00
29,22.156010,0.039704,13.543940,9.94e-05,0.00
30,21.940412,0.038796,13.495220,9.94e-05,0.00
31,21.129487,0.034489,13.580567,9.93e-05,0.00
32,22.155882,0.039868,13.424262,9.93e-05,0.00
33,20.877029,0.034907,13.310267,9.93e-05,0.00
34,21.528910,0.037746,13.283025,9.92e-05,0.00
35,21.629111,0.038448,13.191690,9.92e-05,0.00
36,21.325565,0.037359,13.201441,9.91e-05,0.00
37,21.098889,0.036001,13.238140,9.91e-05,0.00
38,21.218674,0.036803,13.149129,9.90e-05,0.00
39,20.943782,0.035311,13.155564,9.90e-05,0.00
40,20.731743,0.035264,13.044163,9.89e-05,0.00
41,21.812572,0.040177,13.014008,9.89e-05,0.00
42,20.318316,0.033410,12.941858,9.88e-05,0.00
43,20.183491,0.033588,12.821171,9.88e-05,0.00
44,20.274525,0.034418,12.738806,9.87e-05,0.00
45,21.302865,0.038404,12.844584,9.86e-05,0.00
46,20.468308,0.035440,12.721636,9.86e-05,0.00
47,20.393090,0.034904,12.732775,9.85e-05,0.00
48,20.535539,0.035457,12.738497,9.84e-05,0.00
49,20.435995,0.035588,12.626811,9.84e-05,0.00
50,20.026176,0.033545,12.651043,9.83e-05,0.00
51,20.371094,0.035051,12.616084,9.82e-05,0.00
52,20.295864,0.035480,12.470687,9.82e-05,0.00
53,20.362123,0.035180,12.552260,9.81e-05,0.00
54,20.400716,0.036057,12.470266,9.80e-05,0.00
55,20.500186,0.035929,12.525941,9.80e-05,0.00
56,20.221574,0.035220,12.456721,9.79e-05,0.00
57,20.195397,0.035614,12.326106,9.78e-05,0.00
58,19.818009,0.034028,12.324891,9.77e-05,0.00
59,20.003538,0.035083,12.282979,9.77e-05,0.00
60,19.752261,0.034653,12.191002,9.76e-05,0.00
61,19.962492,0.035152,12.228721,9.75e-05,0.00
62,19.877761,0.035106,12.122991,9.74e-05,0.00
63,20.752755,0.038461,12.312438,9.73e-05,0.00
64,19.674945,0.034154,12.154832,9.72e-05,0.00
65,20.078642,0.035161,12.312938,9.72e-05,0.00
66,19.466325,0.033346,12.070589,9.71e-05,0.00
67,19.714124,0.035132,11.949959,9.70e-05,0.00
68,19.758903,0.035155,11.999915,9.69e-05,0.00
69,19.998481,0.036012,12.029862,9.68e-05,0.00
70,19.093670,0.032678,11.887022,9.67e-05,0.00
71,19.404045,0.034288,11.838168,9.66e-05,0.00
72,19.403437,0.034898,11.730350,9.65e-05,0.00
73,19.486259,0.034938,11.816300,9.64e-05,0.00
74,19.569372,0.035781,11.688998,9.63e-05,0.00
75,19.242267,0.034833,11.619552,9.62e-05,0.00
76,19.680469,0.036353,11.650815,9.61e-05,0.00
77,19.532911,0.036209,11.592577,9.60e-05,0.00
78,19.527801,0.034716,11.788145,9.59e-05,0.00
79,19.584833,0.035956,11.670803,9.58e-05,0.00
80,19.145039,0.034340,11.544549,9.57e-05,0.00
81,18.611035,0.032004,11.473279,9.56e-05,0.00
82,19.356921,0.035456,11.558924,9.55e-05,0.00
83,19.797058,0.035333,11.938937,9.54e-05,0.00
84,19.304779,0.035364,11.510119,9.53e-05,0.00
85,19.323281,0.035964,11.382125,9.52e-05,0.00
86,19.028809,0.033453,11.550687,9.51e-05,0.00
87,19.033358,0.034897,11.358336,9.50e-05,0.00
88,19.020335,0.034560,11.393328,9.48e-05,0.00
89,19.247379,0.035200,11.441000,9.47e-05,0.00
90,18.318435,0.031741,11.343758,9.46e-05,0.00
91,19.239952,0.035293,11.417462,9.45e-05,0.00
92,19.175789,0.035300,11.367013,9.44e-05,0.00
93,18.823618,0.033609,11.423582,9.42e-05,0.00
94,18.435619,0.032207,11.324421,9.41e-05,0.00
95,18.456415,0.032883,11.206226,9.40e-05,0.00
96,18.574967,0.033164,11.213435,9.39e-05,0.00
97,18.385451,0.032309,11.243483,9.38e-05,0.00
98,18.598660,0.033026,11.249367,9.36e-05,0.00
99,19.305798,0.035727,11.368994,9.35e-05,0.00
100,18.768902,0.032984,11.467112,9.34e-05,0.00
101,19.393018,0.036291,11.392201,9.32e-05,0.00
102,19.650820,0.037380,11.430411,9.31e-05,0.00
103,19.170069,0.035739,11.303373,9.30e-05,0.00
104,19.045225,0.034342,11.422517,9.28e-05,0.00
105,18.965068,0.033179,11.561147,9.27e-05,0.00
106,18.780267,0.033999,11.292575,9.26e-05,0.00
107,19.239909,0.035319,11.439849,9.24e-05,0.00
108,19.133953,0.034842,11.385511,9.23e-05,0.00
109,19.132238,0.034940,11.376739,9.22e-05,0.00
110,18.841782,0.033689,11.278155,9.20e-05,0.00
111,18.820130,0.034331,11.241907,9.19e-05,0.00
112,18.680968,0.033529,11.248702,9.17e-05,0.00
113,18.718820,0.033222,11.277994,9.16e-05,0.00
114,18.696808,0.033720,11.200614,9.14e-05,0.00
115,18.684302,0.033377,11.255382,9.13e-05,0.00
116,18.410900,0.032861,11.149050,9.11e-05,0.00
117,18.528519,0.032840,11.254569,9.10e-05,0.00
118,19.258491,0.035012,11.479178,9.08e-05,0.00
119,19.131818,0.036232,11.204410,9.07e-05,0.00
120,18.938767,0.035117,11.172415,9.05e-05,0.00
121,18.890908,0.034895,11.185926,9.04e-05,0.00
122,17.922230,0.030730,11.121491,9.02e-05,0.00
123,18.759748,0.034248,11.147439,9.01e-05,0.00
124,18.694790,0.033987,11.159221,8.99e-05,0.00
125,18.534794,0.033412,11.166020,8.98e-05,0.00
126,18.272250,0.032098,11.150944,8.96e-05,0.00
127,18.744931,0.034386,11.109000,8.95e-05,0.00
128,18.698831,0.034081,11.143363,8.93e-05,0.00
129,18.675127,0.034037,11.148180,8.91e-05,0.00
130,18.510704,0.033608,11.064543,8.90e-05,0.00
131,18.455489,0.033559,11.030132,8.88e-05,0.00
132,17.955108,0.030711,11.128285,8.86e-05,0.00
133,18.116531,0.032202,10.992048,8.85e-05,0.00
134,18.610657,0.033818,11.093168,8.83e-05,0.00
135,18.163344,0.032230,11.023562,8.81e-05,0.00
136,18.950687,0.034910,11.154838,8.80e-05,0.00
137,18.487646,0.033313,11.104392,8.78e-05,0.00
138,18.673704,0.034976,10.994176,8.76e-05,0.00
139,18.655860,0.033351,11.245960,8.75e-05,0.00
140,18.186289,0.031007,11.305795,8.73e-05,0.00
141,19.155807,0.035463,11.306197,8.71e-05,0.00
142,19.003598,0.035163,11.197394,8.69e-05,0.00
143,18.805136,0.034381,11.169373,8.68e-05,0.00
144,18.432103,0.033190,11.088031,8.66e-05,0.00
145,18.140146,0.031643,11.116066,8.64e-05,0.00
146,18.856866,0.034526,11.167894,8.62e-05,0.00
147,19.002252,0.033954,11.425632,8.60e-05,0.00
148,17.910630,0.030958,11.070801,8.59e-05,0.00
149,18.900485,0.034368,11.243977,8.57e-05,0.00
150,19.487240,0.037554,11.218470,8.55e-05,0.00
151,18.667343,0.033902,11.127343,8.53e-05,0.00
152,18.228207,0.032136,11.066940,8.51e-05,0.00
153,18.049818,0.031978,10.917304,8.49e-05,0.00
154,18.482422,0.034292,10.967167,8.48e-05,0.00
155,17.696410,0.029917,10.985154,8.46e-05,0.00
156,18.339323,0.032819,10.997185,8.44e-05,0.00
157,17.723236,0.030547,10.895726,8.42e-05,0.00
158,18.061015,0.032094,10.943701,8.40e-05,0.00
159,18.374422,0.033791,10.913541,8.38e-05,0.00
160,17.656042,0.030276,10.910068,8.36e-05,0.00
161,18.200668,0.032329,11.044647,8.34e-05,0.00
162,18.709092,0.034522,11.045039,8.32e-05,0.00
163,18.529476,0.034178,10.998882,8.30e-05,0.00
164,18.296640,0.033228,10.941719,8.28e-05,0.00
